0x0048D2E0 "Script_BindEnchant"
0x0048D300 "Script_ReplaceEnchant"
0x0048D330 "Script_ReplaceTradeEnchant"
0x0048D340 "Script_NotWhileDeadError"
0x0048D350 "Script_GetRestState"
0x0048D3F0 "Script_GetXPExhaustion"
0x0048D4B0 "Script_GetTimeToWellRested"
0x0048D4C0 "Script_GMRequestPlayerInfo"
0x0048D4E0 "Script_GetCoinIcon"
0x0048D540 "Script_GetZonePVPInfo"
0x0048D700 "Script_TogglePVP"
0x0048D770 "Script_ConfirmBindOnUse"
0x0048D780 "Script_SetPortraitToTexture"
0x0048D8B0 "Script_GetLocale"
0x0048D8D0 "Script_GetGMTicketCategories"
0x0048D960 "Script_DropItemOnUnit"
0x0048DAB0 "Script_RestartGx"
0x0048DAD0 "Script_RestoreVideoDefaults"
0x0048DAE0 "Script_GetBindLocation"
0x0048DB40 "Script_GetVideoCaps"
0x0048DC40 "Script_ConfirmTalentWipe"
0x0048DCA0 "Script_ConfirmPetUnlearn"
0x0048DD00 "Script_ConfirmBinder"
0x0048DD60 "Script_ShowingHelm"
0x0048DDC0 "Script_ShowingCloak"
0x0048DE20 "Script_ShowHelm"
0x0048DE70 "Script_ShowCloak"
0x0048DEC0 "Script_SetEuropeanNumbers"
0x0048DEE0 "Script_GetAreaSpiritHealerTime"
0x0048DF20 "Script_AcceptAreaSpiritHeal"
0x0048DF30 "Script_CancelAreaSpiritHeal"
0x0048DF40 "Script_GetMouseFocus"
0x0048DF90 "Script_GetRealmName"
0x0048DFB0 "Script_GetItemQualityColor"
0x0048E070 "Script_GetItemInfo"
0x0048E350 "Script_GetNumAddOns"
0x0048E390 "Script_GetAddOnInfo"
0x0048E530 "Script_GetAddOnMetadata"
0x0048E5E0 "Script_GetAddOnDependencies"
0x0048E690 "Script_EnableAddOn"
0x0048E720 "Script_EnableAllAddOns"
0x0048E760 "Script_DisableAddOn"
0x0048E7F0 "Script_DisableAllAddOns"
0x0048E830 "Script_ResetDisabledAddOns"
0x0048E840 "Script_IsAddOnLoadOnDemand"
0x0048E8E0 "Script_IsAddOnLoaded"
0x0048E980 "Script_LoadAddOn"
0x0048EB70 "Script_PartialPlayTime"
0x0048EBE0 "Script_NoPlayTime"
0x0048EC50 "Script_GetBillingTimeRested"
0x0048A6B0 "Script_ResetInstances"
0x0048A720 "Script_CanShowResetInstances"
0x0048A750 "Script_IsInInstance"
0x0049F1E0 "Script_SendChatMessage"
0x0049F920 "Script_SendAddonMessage"
0x0049FB30 "Script_GetNumLaguages"
0x0049FBE0 "Script_GetLanguageByIndex"
0x0049FCD0 "Script_GetDefaultLanguage"
0x0049FD30 "Script_DoEmote"
0x0049FE40 "Script_LoggingChat"
0x0049FEF0 "Script_LoggingCombat"
0x0049FF00 "Script_JoinChannelByName"
0x004A0000 "Script_LeaveChannelByName"
0x004A00D0 "Script_ListChannelByName"
0x004A01C0 "Script_ListChannels"
0x004A02D0 "Script_GetChannelList"
0x004A03A0 "Script_SetChannelPassword"
0x004A0490 "Script_SetChannelOwner"
0x004A05C0 "Script_DisplayChannelOwner"
0x004A05E0 "Script_GetChannelName"
0x004A06B0 "Script_ChannelModerator"
